"vial","replicate","resp_rate","temp","avg_length_mm","avg_length_um","weight_ngC_B88","weight_c_kg_B88","resp_rate_corr","resp_mL_h","msr_B88"
"Test - B6","R1",0.0731396890503588,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00487597927002392,-0.000197041367313648,1.38184322524967
"Test - A2","R2",0.00767832131990348,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000511888087993565,-2.38806138535319e-05,0.285463188086334
"Test - B2","R2",0.00860338360250511,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000573558906833674,-2.67576821918955e-05,0.319854979907467
"Test - A3","R2",0.00484760657029717,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000323173771353145,-1.50767095822145e-05,0.180223406717588
"Test - B3","R2",0.00606573589991673,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000404382393327782,-1.88652559235744e-05,0.225510790176429
"Test - A4","R2",0.00551926459740004,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000367950973160003,-1.71656565432243e-05,0.205194182715664
"Test - B4","R2",0.00831503081625816,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000554335387750544,-2.58608661750789e-05,0.30913465417139
"Test - A5","R2",0.00851685806733887,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000567790537822592,-2.64885761193977e-05,0.316638149810059
"Test - B5","R2",0.0110812830798167,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000738752205321113,-3.44642834293506e-05,0.41197786133954
"Test - A6","R2",0.0118755941887578,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000791706279250519,-3.69346980007001e-05,0.441508610580646
"Test - B6","R2",0.00838953481723736,"18",0.174466666666667,174.466666666667,83.655668577167,8.36556685771670e-11,-0.000559302321149157,-2.60925836565179e-05,0.311904549928367
"Test - A2","R2",0.0439169352783158,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00292779568522105,-0.00011831350421692,1.70339855141416
"Test - B2","R2",0.0312006977540337,"28",0.164933333333333,164.933333333333,69.4573234893835,6.94573234893835e-11,-0.00208004651693558,-8.40555895328017e-05,1.210176052143
