"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - B6",8,"R1",0.00474869638946112,"R1_28","c5",0.702,702,2273.14608189581,2.27314608189581e-09,0.0974587733623758,0.000221538028815057,"control","active",6,"F",2022-03-20,7,2
"Test - A2",9,"R1",0.00748674850201831,"R1_1","c4",0.59,590,1368.39302801686,1.36839302801686e-09,0.255241785643278,0.000349271079932835,"heatstress","active",1,"F",2022-03-21,8,2
"Test - B2",9,"R1",0.00467496154730555,"R1_23","c3",0.505,505,868.827988546031,8.68827988546031e-10,0.251023061981018,0.000218095862019634,"heatstress","active",5,"M",2022-03-21,8,1
"Test - A3",9,"R1",0.0097838795504445,"R1_6","c6",0.829,829,3694.04522440389,3.69404522440389e-09,0.12356010597243,0.000456436619394294,"control","active",6,"F",2022-03-21,8,NA
"Test - B3",9,"R1",0.00691168034732509,"R1_25","c4",0.604,604,1465.38195605152,1.46538195605152e-09,0.22004027937941,0.000322443055007123,"heatstress","active",1,"F",2022-03-21,8,2
"Test - A4",9,"R1",0.00539478338869728,"R1_7","c6",0.809,809,3439.79580008388,3.43979580008388e-09,0.0731662391647157,0.000251676922186721,"control","active",6,"F",2022-03-21,8,NA
"Test - A5",9,"R1",0.00905483755598521,"R1_12","c6",0.791,791,3221.05626139031,3.22105626139031e-09,0.131144999416995,0.000422425421522141,"control","active",2,"F",2022-03-21,8,NA
"Test - A6",9,"R1",0.00852891057433725,"R1_14","c5",0.66,660,1898.41549763692,1.89841549763692e-09,0.209590538229689,0.000397889925933305,"heatstress","active",3,"M",2022-03-21,8,2
"Test - A2",10,"R1",0.00884655651194775,"R1_5","c5",0.824,824,3629.36324651804,3.62936324651804e-09,0.113713501223685,0.000412707601974126,"heatstress","active",3,NA,2022-03-22,9,NA
"Test - B2",10,"R1",0.00763082627114122,"R1_23","c4",0.59,590,1368.39302801686,1.36839302801686e-09,0.260153052376855,0.000355991623089793,"heatstress","active",5,"M",2022-03-22,9,2
"Test - A3",10,"R1",0.017327067678635,"R1_8","c6",0.875,875,4325.00380233523,4.32500380233523e-09,0.186898919453053,0.000808338537286799,"heatstress","backup",1,"F",2022-03-22,9,NA
"Test - B3",10,"R1",0.0095844862700081,"R1_27","c6",0.836,836,3785.86661699643,3.78586661699643e-09,0.118105940705842,0.000447133338187208,"heatstress","backup",5,"F",2022-03-22,9,NA
"Test - A4",10,"R1",0.00641362923818575,"R1_13","c6",0.74,740,2651.42654777401,2.65142654777401e-09,0.112847635169469,0.000299207215741846,"control","active",2,"M",2022-03-22,9,NA
"Test - B4",10,"R1",0.00975508917496691,"R1_28","c6",0.81,810,3452.22611802017,3.45222611802017e-09,0.131825741333115,0.000455092267257551,"control","active",6,"F",2022-03-22,9,NA
"Test - A5",10,"R1",0.00341204010344549,"R1_15","c5",0.664,664,1932.20753123137,1.93220753123137e-09,0.0823812863272272,0.000159177741873996,"heatstress","active",3,"M",2022-03-22,9,2
"Test - B5",10,"R1",0.010241554611902,"R1_29","c5",0.731,731,2558.36037259352,2.55836037259353e-09,0.186755060224344,0.000477786745459279,"heatstress","active",1,NA,2022-03-22,9,NA
"Test - A6",10,"R1",0.00843523427202891,"R1_18","c5",0.689,689,2152.40061149398,2.15240061149398e-09,0.182827808872656,0.000393518687615611,"control","active",6,"F",2022-03-22,9,2
"Test - A2",11,"R1",0.0121834073422506,"R1_1","c5",0.721,721,2457.50240639684,2.45750240639684e-09,0.231281220159852,0.000568374155097232,"heatstress","active",1,"F",2022-03-23,10,2
